,Location,Postcode,Latitude,Longitude
193,Clifton,8005,-33.930849999999964,18.376840000000072
194,Clovelly,7975,-34.13182999999998,18.438330000000065
195,Colorado Park,7785,-34.00690988613236,18.5711506916192
196,Competition Mail,8017,-33.91908999999998,18.421980000000076
197,Condor Park,7100,-33.9802094987069,18.557305282425865
198,Coniston Park,7945,-34.076889999999935,18.47407000000004
199,Connaught Estate,7490,-34.00153974250429,18.47591031749673
200,Consort Park,7945,-34.05183995564088,18.47594011969676
201,Constantia,7806,-34.02663999999993,18.425520000000063
202,Constantia,7848,-34.02663999999993,18.425520000000063
203,Constantia Dale,7100,-34.02663999999993,18.425520000000063
204,Constantia Hill Estate,7806,-34.02663999999993,18.425520000000063
205,Constantia Meadows,7800,-34.01408647090145,18.46212840315382
206,Constantia Neck,7806,-34.01197999999994,18.40519000000006
207,Constantia Park,7100,-34.12794999999994,18.854790000000037
208,Constantiavale,7806,-34.02272999999997,18.433670000000063
209,Cormac Park,7580,-33.913719238875636,18.663892803234386
210,Cornuta,7945,-34.059330127296334,18.444517864459776
211,Costa Da Gama,7945,-34.09574999999995,18.481890000000078
212,Country Place,7140,-33.83463798922591,18.67883187677974
213,Cravenby,7493,-33.92243999999994,18.588350000000048
214,Cravenby Estate,7493,-34.04576889826591,18.471155995614744
215,Crawford,7770,-33.974989999999934,18.50523000000004
216,Crawford,7780,-33.974989999999934,18.50523000000004
217,Crest Industria,7490,-33.51826996007854,18.47801007259544
218,Cross Roads,7750,-33.98646999999994,18.590460000000064
219,Croydon,7130,-34.03419999999994,18.751820000000066
220,D'Urbanvale,7550,-33.816569999999956,18.639400000000023
221,Da Gama Park,7975,-34.15826999999996,18.402190000000076
222,Danarand,7580,-33.93671999999998,18.67838000000006
223,Danena,7550,-33.87095999999997,18.640190000000075
224,Dassenberg,7349,-34.108589999999936,18.389020000000073
225,Dassenberg,7350,-34.108589999999936,18.389020000000073
226,De Bron,7530,-33.90310999999997,18.62250000000006
227,De Duin,7500,-33.88494999999995,18.570760000000064
228,De Hague,7100,-33.81867105217777,18.695789059034226
229,De Kuilen,7580,-33.92698999999993,18.677810000000022
230,De La Haye Estate,7530,-33.99578671309543,18.497602794062765
231,De Oude Spruit,7560,-33.928794297493724,18.68631195535992
232,De Tijger,7500,-33.88957999999997,18.594430000000045
233,De Tijgerpark,7500,-33.88549343212504,18.672354843593276
234,De Tuin,7560,-33.85657999999995,18.692170000000033
235,De Waterkant,8001,-33.91441999999995,18.419790000000035
236,Deaconville,7130,-34.06078999999994,18.76634000000007
237,Delft,7100,-33.98507999999998,18.635590000000036
238,Delft,7102,-33.98507999999998,18.635590000000036
239,Delft South,7100,-33.991859999999974,18.634040000000027
240,Delft Voorburg,7100,-33.97061999999994,18.65002000000004
241,Delro Village,7580,-33.98371999999995,18.681560000000047
242,Delropark,7580,-33.91908999999998,18.421980000000076
243,Dennedal,7945,-34.05762024872381,18.43564953913528
244,Dennemere,7580,-33.97989999999993,18.707640000000026
245,Des Hampton,7580,-33.929749999999956,18.67327000000006
246,Devil's Peak Estate,8001,-33.93608999999998,18.430260000000033
247,Devils Peak,8001,-33.95485999999994,18.439440000000047
248,Devon Park,7100,-34.008249999999975,18.729520000000036
249,Devon Park Village,7100,-34.01157999999998,18.724800000000073
250,Dido Valley,7975,-34.17113999999998,18.42626000000007
251,Die Akkers,7530,-33.88407995639559,18.66602890866266
252,Die Bos,7140,-34.10957999999994,18.842900000000043
253,Die Oewers,7580,-33.87996678835282,18.670586928488998
254,Die Wingerd,7130,-34.06764999999996,18.831960000000038
255,Diep River,7800,-34.03428999999994,18.46249000000006
256,Diepwater,7580,-33.963616151641986,18.65700281718126
257,Door De Kraal,7530,-33.86519999999996,18.62223000000006
258,Doordrift Estate,7806,-34.0193129761117,18.46351488798391
259,Doordrift Village,7806,-34.0188551038986,18.461320987279898
260,Doornhoogte,7764,-33.91908999999998,18.421980000000076
261,Dorhill Estate,7130,-34.0741719348469,18.84605688600663
262,Dreyersdal Estate,7945,-34.05321704018229,18.456898655434916
263,Drift Sands,7100,-34.00460999999996,18.650490000000048
264,Drostdy Park,7580,-33.91507999999993,18.670480000000055
265,Drumblair,7945,-34.05891432016143,18.434953380681552
